transition,from,to,covariate,beta_mean,beta_sd,beta_median,beta_CrI_2.5,beta_CrI_97.5,HR,HR_CrI_2.5,HR_CrI_97.5,Significant_95CrI,parameter
0->1,0,1,Age (per 10-year increase),0.3228493104774101,0.017849659431237938,0.3230204688380273,0.28805578899215334,0.3580247827481872,1.38105722437097,1.3338317151747983,1.4305010717884494,TRUE,"gamma[1,1]"
0->1,0,1,Cardiovascular condition (any; 1 vs 0),0.48106121511859007,0.04868166840619074,0.481345089718367,0.3848409506396776,0.5740922726689016,1.6177903150965895,1.4693805988106086,1.775518108892498,TRUE,"gamma[1,2]"
0->1,0,1,High blood pressure (1 vs 0),0.34691992778919406,0.031032705995784223,0.34681676929793925,0.28450493459359383,0.4079860460662652,1.4147034424028124,1.3291038718712362,1.5037861772910392,TRUE,"gamma[1,3]"
0->1,0,1,Diabetes (1 vs 0),0.37435920898613095,0.06749965063537054,0.37554329989678364,0.23975417492489748,0.5029100447268047,1.4540593678499467,1.2709366838111782,1.6535261110993738,TRUE,"gamma[1,4]"
0->1,0,1,Stroke (1 vs 0),0.48821771169209693,0.12577239267514215,0.49231953825923713,0.23659869888455176,0.722455531470039,1.6294095528705634,1.2669325942833023,2.059484134859464,TRUE,"gamma[1,5]"
0->1,0,1,Cancer (1 vs 0),0.3589222468453045,0.0636717774117368,0.3603628284978381,0.23485337993503497,0.4813202462328855,1.4317854714063298,1.2647233213225333,1.618209427403826,TRUE,"gamma[1,6]"
0->1,0,1,Arthritis (1 vs 0),0.6299654218344997,0.033900563185543166,0.6303744632203543,0.5622729682719487,0.6957874694765139,1.8775456560574573,1.7546562490960287,2.005287555098014,TRUE,"gamma[1,7]"
0->1,0,1,Eyesight score (per 0.2-unit increase),0.16409723306676752,0.015389159468757645,0.16414909072271988,0.13386820665458588,0.1941618423069231,1.1783288820536462,1.14324213800946,1.2142927910007222,TRUE,"gamma[1,8]"
0->2,0,2,Age (per 10-year increase),0.6362487574704346,0.10413454164401341,0.636866223057298,0.4292445842649998,0.8369856508335456,1.88938004637404,1.5360966935360767,2.309395150953124,TRUE,"gamma[2,1]"
0->2,0,2,Cardiovascular condition (any; 1 vs 0),-0.01721225902013889,0.37099566401067374,-9.025380539026961e-4,-0.7938757381380173,0.6548302718959594,0.9829350256654109,0.4520892159809622,1.9248157943147077,FALSE,"gamma[2,2]"
0->2,0,2,High blood pressure (1 vs 0),0.08979009821635381,0.20804757365429546,0.0916054995180357,-0.3263103296030731,0.4991135479347147,1.0939446386737348,0.7215812246673393,1.6472604059136018,FALSE,"gamma[2,3]"
0->2,0,2,Diabetes (1 vs 0),0.2503507812272248,0.4694084957894245,0.2839572166635002,-0.7425631061327724,1.0723165249078177,1.284475907706472,0.4758925877830663,2.922140877630683,FALSE,"gamma[2,4]"
0->2,0,2,Stroke (1 vs 0),0.39609089889953003,0.7524201381784912,0.4617946672746699,-1.2322417071068785,1.670604578420202,1.4860043875759659,0.2916380772054537,5.315380390230195,FALSE,"gamma[2,5]"
0->2,0,2,Cancer (1 vs 0),0.6088411865344084,0.3549565712757031,0.627474384785971,-0.1313297942451907,1.2551405123143693,1.8382999173274586,0.8769285207169907,3.5083313034614894,FALSE,"gamma[2,6]"
0->2,0,2,Arthritis (1 vs 0),0.3780959540518812,0.23349642443355142,0.3847970983528476,-0.09452130517515817,0.8196610533957972,1.4595029813818543,0.9098083507932687,2.2697303897308574,FALSE,"gamma[2,7]"
0->2,0,2,Eyesight score (per 0.2-unit increase),0.26256015334986627,0.10067276739532126,0.2636423503387805,0.06700404657548302,0.45825395901007493,1.3002546804908117,1.069299805168221,1.581310540131676,TRUE,"gamma[2,8]"
0->3,0,3,Age (per 10-year increase),0.8414417598760576,0.20555933797425482,0.8478187536666182,0.4296270978899709,1.2423263822671111,2.3197090303869166,1.5366843838432362,3.46366190088875,TRUE,"gamma[3,1]"
0->3,0,3,Cardiovascular condition (any; 1 vs 0),-0.8472680472433164,0.9253289127988199,-0.7643517558555378,-2.8736816235451452,0.7236004521889814,0.4285842058235586,0.056490566264237034,2.0618434312617415,FALSE,"gamma[3,2]"
0->3,0,3,High blood pressure (1 vs 0),0.2752149523389158,0.4059313438018116,0.2877899636046779,-0.5493158896133905,1.0388756145932094,1.3168136966324442,0.5773446427773935,2.8260376717661373,FALSE,"gamma[3,3]"
0->3,0,3,Diabetes (1 vs 0),0.5618035039873815,0.7672519995782828,0.6290699026642813,-1.1417465083888723,1.8764209745056193,1.7538326939853666,0.31926094269856986,6.530091624491636,FALSE,"gamma[3,4]"
0->3,0,3,Stroke (1 vs 0),-0.9690367012162306,1.5316543206972437,-0.8341139285147303,-4.281132282612458,1.6437403433907525,0.3794483842734603,0.01382699715112943,5.1744877222955585,FALSE,"gamma[3,5]"
0->3,0,3,Cancer (1 vs 0),-0.4183340844006386,0.9536328989053809,-0.31498862865188326,-2.5446316794433654,1.1897120196376574,0.6581423166109395,0.07850196054238902,3.286134728836125,FALSE,"gamma[3,6]"
0->3,0,3,Arthritis (1 vs 0),-0.7951145630994958,0.7128423033233638,-0.7321013040255406,-2.3917917401128315,0.41406271351764257,0.45152950333996716,0.09146565429045332,1.5129520064515967,FALSE,"gamma[3,7]"
0->3,0,3,Eyesight score (per 0.2-unit increase),-0.19768280849678416,0.21371274819821612,-0.19412632587534112,-0.6161128616058013,0.2213631827433865,0.8206301087579945,0.5400395714715663,1.2477765191814707,FALSE,"gamma[3,8]"
