"Parameter","Mean_Rhat","Max_Rhat","Mean_ESS","Min_ESS"
"alpha0_12",1.0005907728538,1.00440114711577,4655.82248468823,2240.91261209853
"alpha0_13",1.00101793587019,1.0050130423999,2548.78850895988,1293.30124699083
"alpha0_23",1.00079166130131,1.0039981706012,3853.65562332427,1561.62892851303
"alpha1_12",1.00031684442568,1.00224797922878,7114.04723815904,3529.91910724263
"alpha1_13",1.00331896746387,1.02659739669266,2175.48548746143,1062.70085819172
"alpha1_23",1.00082719870989,1.00742242780462,5450.81630774104,2016.24879925016
"beta0_y",1.001192442407,1.00865442299515,2075.11677967783,1621.79581192311
"beta1_y",1.03097079109183,1.25065855220635,98.7568963546759,64.9847761297182
"beta2_y",1.00174140346319,1.01210149010957,1285.2736229101,956.328977924367
"gamma12",1.00018360105664,1.00204444949257,17746.8512221425,7363.43272848346
"gamma13",1.00030351816796,1.00225852987304,8874.65977166943,4368.41839306268
"gamma23",1.00025773921528,1.00371664165209,14582.1580658045,6458.35241488939
"lambda012",1.00047484399501,1.00517014964527,13466.0487742055,6304.93738280033
"lambda013",1.00071137649666,1.01122030164799,9346.40954884533,5363.24420069218
"lambda023",1.00066446285945,1.00929178720581,9728.7476031047,5313.40856043267
"rho",1.00184079732643,1.0091462652206,2547.75907704534,1289.98157000868
"sigma_b0",1.00137959870707,1.00863522920092,2040.49420841532,938.804533858484
"sigma_b1",1.00116638875783,1.00778223706913,6367.33574434164,2950.18378319643
"sigma_y",1.00015681828318,1.00117256472684,12472.6792133189,7756.35665578269
