"Sample_Size","Parameter","True_Value","Mean_Estimate","Mean_Posterior_SD","Empirical_SD","Bias","Relative_Bias","MSE","RMSE","Coverage","MCSE","M","Successful_Fits","Failed_Fits"
500,"beta0_y",2,1.99406222283497,0.0712227726262973,0.0663323909519459,-0.00593777716503086,-0.296888858251543,0.00439124342616934,0.0662664577759317,0.98,0.00663323909519459,100,100,0
500,"beta1_y",0.5,0.5076576164877,0.0381454911049438,0.0397293604909033,0.00765761648770036,1.53152329754007,0.00162127695443869,0.040265083564283,0.94,0.00397293604909033,100,100,0
500,"beta2_y",1,0.987881808202623,0.0681246826091913,0.0722363500614337,-0.0121181917973769,-1.21181917973769,0.00531275993993402,0.0728886818369905,0.9,0.00722363500614337,100,100,0
500,"sigma_b0",1,0.976038635414298,0.0673830292876345,0.0801106806722579,-0.0239613645857022,-2.39613645857022,0.00692769093900369,0.083232751600579,0.9,0.00801106806722579,100,100,0
500,"sigma_b1",0.6,0.605203898687135,0.0262111850759911,0.0262437407137272,0.00520389868713522,0.86731644785587,0.000708927148928815,0.0266256858865422,0.93,0.00262437407137272,100,100,0
500,"rho",0.3,0.317086524515944,0.0780803195583257,0.0748359096748403,0.0170865245159441,5.69550817198137,0.0058363585631262,0.0763960637934063,0.95,0.00748359096748403,100,100,0
500,"sigma_y",1,1.00673909740463,0.018314801431446,0.0192431261512081,0.00673909740463152,0.673909740463152,0.000412010358859704,0.0202980383007744,0.89,0.00192431261512081,100,100,0
500,"lambda012",0.08,0.0806689586982431,0.00611573407999813,0.00636019941165935,0.000668958698243086,0.836198372803857,0.0000404951209304663,0.00636357768322713,0.97,0.000636019941165935,100,100,0
500,"lambda013",0.04,0.0411784431560267,0.00482770014140858,0.00416493770617942,0.00117844315602673,2.94610789006682,0.0000185619673073778,0.00430836016453799,0.97,0.000416493770617942,100,100,0
500,"lambda023",0.1,0.101454187019111,0.0114334338654602,0.0107186899894157,0.00145418701911128,1.45418701911128,0.000115856071824859,0.0107636458425972,0.97,0.00107186899894157,100,100,0
500,"gamma12",-0.5,-0.508026754082694,0.0758364212394705,0.0769484775016125,-0.00802675408269438,1.60535081653888,0.00592628628902205,0.0769823764833358,0.95,0.00769484775016125,100,100,0
500,"gamma13",0.8,0.780757283483541,0.106109629104932,0.099127336476905,-0.0192427165164595,-2.40533956455743,0.0100982486875683,0.100490042728463,0.93,0.0099127336476905,100,100,0
500,"gamma23",0.5,0.498765976096073,0.114576305376035,0.115711737541848,-0.00123402390392713,-0.246804780785426,0.0132568369578996,0.115138338349568,0.93,0.0115711737541848,100,100,0
500,"alpha0_12",0.4,0.419744741803631,0.119851902040278,0.114346057908947,0.0197447418036313,4.93618545090783,0.0133341255786153,0.115473484309669,0.97,0.0114346057908947,100,100,0
500,"alpha0_13",0.8,0.812031948694087,0.188195959139378,0.189002113822776,0.0120319486940873,1.50399358676091,0.0355093488285601,0.188439244396065,0.95,0.0189002113822776,100,100,0
500,"alpha0_23",0.6,0.648365652060399,0.193770691293805,0.206716360822648,0.0483656520603987,8.06094201006644,0.0446435735926693,0.211290259105027,0.95,0.0206716360822648,100,100,0
500,"alpha1_12",0.15,0.130918746356361,0.150334263478021,0.135248503303419,-0.019081253643639,-12.720835762426,0.0184733303099698,0.13591662999784,0.98,0.0135248503303419,100,100,0
500,"alpha1_13",0.3,0.291129588739924,0.26404820991668,0.272177069637521,-0.00887041126007621,-2.95680375335874,0.0734182378600261,0.270958000177197,0.97,0.0272177069637521,100,100,0
500,"alpha1_23",0.25,0.230866930417829,0.223873551205706,0.220478451301994,-0.0191330695821711,-7.65322783286845,0.0484907143652767,0.220206072498641,0.97,0.0220478451301994,100,100,0
