parameter,Rhat,ESS,Rhat_ok,ESS_ok
alpha0[1],1.0006607874306903,3130.4035272278716,TRUE,TRUE
alpha0[2],0.9998755096672679,4336.932183145775,TRUE,TRUE
alpha0[3],0.9999576723933745,6029.30089359326,TRUE,TRUE
alpha0[4],1.0010143374551292,1276.8475038860338,TRUE,TRUE
alpha0[5],1.0007284444222384,1760.2800854757309,TRUE,TRUE
alpha0[6],0.999995051682688,5556.9745348203705,TRUE,TRUE
alpha0[7],1.0010288215507162,5166.510027785732,TRUE,TRUE
alpha0[8],1.001001692520137,2636.048388376814,TRUE,TRUE
alpha0[9],1.0002647052291873,4059.315584853226,TRUE,TRUE
alpha1[1],1.0001809823411982,864.374196131448,TRUE,TRUE
alpha1[2],1.001492703168787,1494.9454950746976,TRUE,TRUE
alpha1[3],1.0002191339529156,2313.377729543777,TRUE,TRUE
alpha1[4],1.003064084517623,411.39024721836574,TRUE,TRUE
alpha1[5],1.0019697785656008,348.78249824802185,TRUE,FALSE
alpha1[6],1.0018507998530735,1468.1116045323076,TRUE,TRUE
alpha1[7],1.0003669818358307,1756.1306239090802,TRUE,TRUE
alpha1[8],1.0063191751851113,436.29535461182974,TRUE,TRUE
alpha1[9],1.0014644018242769,1167.8046401633765,TRUE,TRUE
beta0_y,1.0020840717608748,684.9182407460207,TRUE,TRUE
beta_long[1],1.002970356547349,593.3897901781695,TRUE,TRUE
beta_long[2],1.0062098850133727,667.1468089561316,TRUE,TRUE
beta_long[3],1.0009031511295086,572.6853489243812,TRUE,TRUE
beta_long[4],1.001985442961609,653.8829097339864,TRUE,TRUE
beta_long[5],1.0013140987909868,694.2245568064644,TRUE,TRUE
beta_long[6],1.0021659544652262,654.214016063067,TRUE,TRUE
beta_long[7],1.0027945565918381,561.6869581138965,TRUE,TRUE
beta_long[8],1.019640669988359,686.9327935239457,TRUE,TRUE
beta_time_y,1.0003646197136642,2360.927416993877,TRUE,TRUE
"gamma[1,1]",0.999944970115065,4095.0530294496975,TRUE,TRUE
"gamma[2,1]",1.000450469081684,6756.898186507857,TRUE,TRUE
"gamma[3,1]",0.9999821470400031,6848.882323821346,TRUE,TRUE
"gamma[4,1]",0.999894364725901,3238.793523538407,TRUE,TRUE
"gamma[5,1]",1.0003424436248263,3814.8548857151436,TRUE,TRUE
"gamma[6,1]",0.9999826565932558,5437.934921404163,TRUE,TRUE
"gamma[7,1]",1.0001562852072943,6375.200782874197,TRUE,TRUE
"gamma[8,1]",1.0016864312312632,3644.8834115742766,TRUE,TRUE
"gamma[9,1]",1.0001043742971025,5129.869912810354,TRUE,TRUE
"gamma[1,2]",0.9999415658644722,6697.961661255764,TRUE,TRUE
"gamma[2,2]",0.9999217630346022,8000,TRUE,TRUE
"gamma[3,2]",1.0001524191608526,7999.999999999999,TRUE,TRUE
"gamma[4,2]",1.0007095465807276,6179.580600809954,TRUE,TRUE
"gamma[5,2]",1.00192292675859,7034.0518655228625,TRUE,TRUE
"gamma[6,2]",0.9999012642086991,8000,TRUE,TRUE
"gamma[7,2]",1.0004956318689278,7999.999999999999,TRUE,TRUE
"gamma[8,2]",1.000183464768008,7352.916525440047,TRUE,TRUE
"gamma[9,2]",0.9999617345437891,7504.043926567709,TRUE,TRUE
"gamma[1,3]",1.0005583119516726,7100.571451645791,TRUE,TRUE
"gamma[2,3]",1.0008420738857593,7649.318691212835,TRUE,TRUE
"gamma[3,3]",1.0007550373425473,7250.587448968146,TRUE,TRUE
"gamma[4,3]",1.0006370271193166,7078.729497357106,TRUE,TRUE
"gamma[5,3]",1.0000695867919225,6093.538569081779,TRUE,TRUE
"gamma[6,3]",1.0000476518698476,7029.863333422236,TRUE,TRUE
"gamma[7,3]",0.9999963911810843,8069.289968961171,TRUE,TRUE
"gamma[8,3]",0.9998936294658531,6445.375235055643,TRUE,TRUE
"gamma[9,3]",1.0000353451821278,6537.00174938003,TRUE,TRUE
"gamma[1,4]",1.0003565592920987,6899.833004776959,TRUE,TRUE
"gamma[2,4]",0.999950071949298,8000,TRUE,TRUE
"gamma[3,4]",0.9999358808835778,7999.999999999999,TRUE,TRUE
"gamma[4,4]",1.0000624922186534,7757.213293634055,TRUE,TRUE
"gamma[5,4]",1.0000788319530287,7162.475058155736,TRUE,TRUE
"gamma[6,4]",1.0002615214423745,8000,TRUE,TRUE
"gamma[7,4]",0.9999599287954624,7821.411994167775,TRUE,TRUE
"gamma[8,4]",1.00018473534328,7653.647541599619,TRUE,TRUE
"gamma[9,4]",1.0001510117955088,8055.528554125009,TRUE,TRUE
"gamma[1,5]",1.0003691736755698,8156.124605889618,TRUE,TRUE
"gamma[2,5]",1.0000751136812587,8000,TRUE,TRUE
"gamma[3,5]",1.0004092545594208,8586.548150257657,TRUE,TRUE
"gamma[4,5]",1.000231463804537,8402.348098857383,TRUE,TRUE
"gamma[5,5]",1.0013107865423467,5521.974693529156,TRUE,TRUE
"gamma[6,5]",0.9999920425657309,7850.708926533147,TRUE,TRUE
"gamma[7,5]",1.0001807745470566,8000,TRUE,TRUE
"gamma[8,5]",1.0007079870105884,8000.000000000001,TRUE,TRUE
"gamma[9,5]",0.9999551577597219,7761.171867155621,TRUE,TRUE
"gamma[1,6]",1.0002108663872538,6425.993832667886,TRUE,TRUE
"gamma[2,6]",1.0010945375805358,7813.761526842302,TRUE,TRUE
"gamma[3,6]",1.000937414050901,7881.695857664702,TRUE,TRUE
"gamma[4,6]",0.9998992220232678,7728.310417107552,TRUE,TRUE
"gamma[5,6]",1.0000075006875644,7552.953038598818,TRUE,TRUE
"gamma[6,6]",1.000122566970036,8000,TRUE,TRUE
"gamma[7,6]",1.0001322710288107,7452.034614652146,TRUE,TRUE
"gamma[8,6]",0.9998869412567498,7731.884707567057,TRUE,TRUE
"gamma[9,6]",1.0004702015790803,7796.172356239926,TRUE,TRUE
"gamma[1,7]",1.0002703074051105,7205.64713248529,TRUE,TRUE
"gamma[2,7]",1.0002841237542759,7467.247111434344,TRUE,TRUE
"gamma[3,7]",0.9999006483827216,8000,TRUE,TRUE
"gamma[4,7]",1.0006291846954876,6875.69655164346,TRUE,TRUE
"gamma[5,7]",0.9999135605119789,5378.285601219115,TRUE,TRUE
"gamma[6,7]",1.000044956811686,7255.874149410189,TRUE,TRUE
"gamma[7,7]",1.0005893831367525,6533.844835402137,TRUE,TRUE
"gamma[8,7]",0.9998854521094854,4653.272210974181,TRUE,TRUE
"gamma[9,7]",1.000033634803281,6523.415717868174,TRUE,TRUE
"gamma[1,8]",0.9999576784202907,7704.3034467360185,TRUE,TRUE
"gamma[2,8]",1.0000370421506684,8000,TRUE,TRUE
"gamma[3,8]",1.000943486571203,7505.660545580195,TRUE,TRUE
"gamma[4,8]",1.000980287928833,7508.991498425428,TRUE,TRUE
"gamma[5,8]",1.001084733229768,6614.142935221602,TRUE,TRUE
"gamma[6,8]",1.0007519468702646,8000,TRUE,TRUE
"gamma[7,8]",0.9999886235606241,8287.246156542647,TRUE,TRUE
"gamma[8,8]",1.0001333071014367,7652.943195170141,TRUE,TRUE
"gamma[9,8]",1.000449654154694,8000.000000000001,TRUE,TRUE
