"Parameter","Estimate","Posterior_SD","Lower95","Upper95","Rhat","ESS","Replicate","N","N_long","N12","N13","N23","Max_Rhat","Min_ESS","Fit_Status"
"beta0_y",1.9325287610913,0.0738633150853334,1.79107258406827,2.08053714547328,1.00004735371053,1700.45281320502,1,500,2397,250,136,121,1.00154035316607,108.89209632253,"success"
"beta1_y",0.448267326538116,0.0333788388693036,0.383009944011224,0.51210026445495,1.00004105156216,108.89209632253,1,500,2397,250,136,121,1.00154035316607,108.89209632253,"success"
"beta2_y",1.02603861907442,0.0782243578376993,0.870175191748956,1.17692508682198,1.00021384325552,1011.4516886978,1,500,2397,250,136,121,1.00154035316607,108.89209632253,"success"
"sigma_b0",1.11481197297356,0.06577029376047,0.989505555594564,1.24742575785293,1.00066460250854,3334.8860385404,1,500,2397,250,136,121,1.00154035316607,108.89209632253,"success"
"sigma_b1",0.552469569569777,0.0228717581238388,0.509753753707723,0.599446502249315,1.00002115749093,10968.2378981627,1,500,2397,250,136,121,1.00154035316607,108.89209632253,"success"
"rho",0.192096290718922,0.072721428762224,0.0477617789156706,0.332395399448348,1.00048807143207,3973.21408883849,1,500,2397,250,136,121,1.00154035316607,108.89209632253,"success"
"sigma_y",0.976422766556159,0.017033802918283,0.943808172049262,1.01044198783684,1.00023367049062,16262.7036505226,1,500,2397,250,136,121,1.00154035316607,108.89209632253,"success"
"lambda012",0.0791280833960856,0.00561914138155906,0.0685172361869422,0.0905932570866076,0.999995057699774,18052.8582688712,1,500,2397,250,136,121,1.00154035316607,108.89209632253,"success"
"lambda013",0.0345396568833944,0.00408835845172135,0.026883619922244,0.0429517426876275,1.00011463331427,13518.1757675262,1,500,2397,250,136,121,1.00154035316607,108.89209632253,"success"
"lambda023",0.0916157883183575,0.00989368812497882,0.0728061259958452,0.111579707698001,1.00000232519492,12271.7816183916,1,500,2397,250,136,121,1.00154035316607,108.89209632253,"success"
"gamma12",-0.507371181061706,0.076543645806882,-0.657385435025358,-0.357009395763285,1.00009772060466,17042.5008724309,1,500,2397,250,136,121,1.00154035316607,108.89209632253,"success"
"gamma13",0.873212715190937,0.115899598900937,0.650731551897521,1.10377052518175,1.00009396609765,10179.3460094644,1,500,2397,250,136,121,1.00154035316607,108.89209632253,"success"
"gamma23",0.510251844130183,0.129637309395123,0.260061443166107,0.766555607934585,1.00006738669683,12351.3573796073,1,500,2397,250,136,121,1.00154035316607,108.89209632253,"success"
"alpha0_12",0.308549038372832,0.0834114084400681,0.147143460811221,0.474875150863677,1.00025756830534,6839.02629615495,1,500,2397,250,136,121,1.00154035316607,108.89209632253,"success"
"alpha0_13",0.640803364392453,0.135179854173754,0.381386680896349,0.9156077857055,1.00017381691132,4131.35805926982,1,500,2397,250,136,121,1.00154035316607,108.89209632253,"success"
"alpha0_23",0.557276361937467,0.14897438267518,0.279569102761656,0.860778426969477,1.00154035316607,4940.45279737439,1,500,2397,250,136,121,1.00154035316607,108.89209632253,"success"
"alpha1_12",0.137528020864521,0.13765685330378,-0.134177260144725,0.404916353612566,1.00026974457155,10936.1375988,1,500,2397,250,136,121,1.00154035316607,108.89209632253,"success"
"alpha1_13",0.0568156307982669,0.247091457680579,-0.434574824403344,0.533147684037488,1.00060824781515,3403.85935712419,1,500,2397,250,136,121,1.00154035316607,108.89209632253,"success"
"alpha1_23",0.240495715280865,0.231211408348528,-0.216338055514332,0.690308609468925,1.00049339689436,6582.17556662801,1,500,2397,250,136,121,1.00154035316607,108.89209632253,"success"
"beta0_y",2.07176669467412,0.0687061966090643,1.93737690708168,2.20681860439301,1.00059820399322,2373.50242801153,2,500,2150,238,166,130,1.0532144208533,89.6350260902975,"success"
"beta1_y",0.55246213298869,0.0416898473007955,0.473070566375331,0.634299562940938,1.0532144208533,89.6350260902975,2,500,2150,238,166,130,1.0532144208533,89.6350260902975,"success"
"beta2_y",1.03712621021028,0.0653661222649757,0.90701186637249,1.16292963870515,1.00391496135965,1560.99497920689,2,500,2150,238,166,130,1.0532144208533,89.6350260902975,"success"
"sigma_b0",0.872654977479997,0.0662551152716574,0.744687262178599,1.00654387899496,1.0012251147793,1605.1442698278,2,500,2150,238,166,130,1.0532144208533,89.6350260902975,"success"
"sigma_b1",0.586041087647524,0.0259823564769372,0.537431919428961,0.639145284185044,1.00242750941756,4155.93007277824,2,500,2150,238,166,130,1.0532144208533,89.6350260902975,"success"
"rho",0.461271314848281,0.08026429314758,0.29889556717207,0.612261230066814,1.00113929675484,1545.71849489049,2,500,2150,238,166,130,1.0532144208533,89.6350260902975,"success"
"sigma_y",1.04622333109307,0.0193093526024683,1.00912646007528,1.08479599742385,1.00015561091582,11534.0198102465,2,500,2150,238,166,130,1.0532144208533,89.6350260902975,"success"
