"Replication","Sample_Size","Parameter","Estimate","Posterior_SD","Lower_95","Upper_95","Rhat","Rhat_Upper","ESS"
1,500,"beta0_y",1.91089045526445,0.0541587382743413,1.80444961295893,2.01693241635221,1.00285237278943,1.0100371224978,1256.33693478852
1,500,"beta1_y",0.457878222575533,0.026917177144219,0.400957935143753,0.51012715223757,1.00276290214429,1.00301199242227,232.539676411086
1,500,"beta2_y",0.968490934500218,0.0575649247720034,0.855629323870365,1.08283298421033,1.00177442612722,1.00615889115761,1176.49784706424
1,500,"sd_b0",0.98902228767571,0.0484804766960839,0.896066009930307,1.08666017371493,0.999981288977801,1.00006179826942,6370.5598332157
1,500,"sd_b1",0.594501394701506,0.0201281061251872,0.556644257283537,0.635436827460057,0.999995894136998,1.00009936777999,21427.7290197722
1,500,"rho",0.257790944451482,0.0576422394952153,0.143507105727714,0.36924310934706,1.00019893884515,1.00074367529541,8578.92973898191
1,500,"sigma_y",0.974333867090247,0.0126558184083868,0.949849194642919,0.999755277090111,1.0000136386582,1.00015674109086,16635.1472899064
2,500,"beta0_y",2.03045347708618,0.0603031987507195,1.90991591984965,2.14719353471152,1.00300410295461,1.01107533582345,1077.16418196942
2,500,"beta1_y",0.54468217856538,0.026695326372752,0.493767169115932,0.60054002630654,1.00209178253153,1.00386514464282,251.157282465504
2,500,"beta2_y",1.07378113357954,0.0549025614172744,0.966722090514665,1.18104796338607,1.00087639507681,1.00323416681566,1157.28712747307
2,500,"sd_b0",1.07667113037149,0.0498069309339889,0.982739656769285,1.17753775859853,1.00022498135352,1.00077873712597,8393.7499814771
2,500,"sd_b1",0.563100912367427,0.0193023702342075,0.52664337702864,0.602219416624172,1.00010844182698,1.0003371272794,20172.4559218534
2,500,"rho",0.182697075475331,0.0573458959085233,0.0696369669674253,0.292960581797598,1.0000735686937,1.00034124551379,10237.0021414374
2,500,"sigma_y",0.993457462863959,0.0127959761071371,0.968582161369863,1.01862888362962,0.99997659282981,1.00003196313762,17255.750575037
3,500,"beta0_y",2.02705809062941,0.0563577819351767,1.919542465156,2.13963638143881,1.00290264398486,1.0101901257207,1198.81710740017
3,500,"beta1_y",0.489992563494321,0.0289135002425378,0.433823662509293,0.548577962020056,1.00400739489756,1.01419452197041,214.434330497638
3,500,"beta2_y",1.08117134799271,0.0589691453906111,0.964795096220499,1.19697355385984,1.0021765477994,1.00619309231402,1214.97971658748
3,500,"sd_b0",0.989764767679864,0.0491728842919393,0.895878962209292,1.08842398187351,1.00106692814047,1.004041198992,5792.29862777998
3,500,"sd_b1",0.603873589657141,0.0205520500235407,0.565320562339294,0.645700365439565,1.00019621614723,1.00057502794125,18085.1324310735
3,500,"rho",0.423718366259633,0.0556320259169101,0.312509673848147,0.530133245837687,1.00120124524042,1.00442699837792,5658.83956905992
3,500,"sigma_y",0.991654147707949,0.0127718190364232,0.967028564714299,1.01722446064253,1.00016668064844,1.0005986846468,17277.2864756937
4,500,"beta0_y",1.88566287609481,0.056988772954264,1.77560299158211,1.99735890913615,1.00411650288175,1.0144859217129,1304.80625973132
4,500,"beta1_y",0.454330768959957,0.0300291034755759,0.395607169417289,0.513755384254557,1.011148562659,1.03209629201129,208.731887756812
4,500,"beta2_y",0.993473187010641,0.055342843599489,0.884042183113168,1.10109719241499,1.00227854268561,1.0077792840217,1236.30927522277
4,500,"sd_b0",1.00051080429136,0.0503013610268282,0.904046120759472,1.10225058918789,1.00033385671231,1.00100586911338,6655.26186677654
4,500,"sd_b1",0.634696118035831,0.0217259980758997,0.593746004524909,0.678600053614393,1.00010140267884,1.00029668008966,20510.0089320309
4,500,"rho",0.267887423458928,0.0586933351568436,0.150689653487342,0.381209577460039,1.00013219588057,1.00049061270134,7914.58209717109
4,500,"sigma_y",1.00658797283945,0.0129872450492777,0.981432461468097,1.03223520506456,1.00021497929827,1.00087501103107,15760.676611377
5,500,"beta0_y",2.05537790936675,0.0589696938565429,1.94031575450608,2.17089061668113,1.0048389677284,1.01756429019337,1105.4294125908
5,500,"beta1_y",0.52980703468156,0.0308831387826752,0.472481563704793,0.596107883380532,1.08619302572426,1.27327261268185,193.537642972502
5,500,"beta2_y",0.962843168020337,0.05694520525318,0.852079045792183,1.0744662978877,1.00087441836017,1.00213336825965,1172.3444130467
5,500,"sd_b0",1.04305287027138,0.0510550573011822,0.945897771970016,1.14773677411032,1.0002559805608,1.00106092523605,7078.11247937845
5,500,"sd_b1",0.629037083166897,0.0212347629129971,0.589045172877022,0.671976660813406,1.00013930900349,1.0001551707841,20162.0780932552
5,500,"rho",0.321639012237526,0.0557591051819374,0.21134110299131,0.42948036189361,1.00040350135049,1.00140483499299,8293.4691859399
5,500,"sigma_y",0.983113818500316,0.012632972233877,0.958839016558416,1.00834546611694,1.0001344589917,1.0002778012061,17272.6283184258
6,500,"beta0_y",2.00213212601654,0.05632847445488,1.8936426836503,2.11318139445221,1.00185072975791,1.00667829938672,1113.80367780099
6,500,"beta1_y",0.510515177478394,0.0280014202448905,0.455523063385302,0.566593856248255,1.00967425264714,1.03373608240925,222.830614839953
6,500,"beta2_y",0.929744863479957,0.0549950179416876,0.82116077518071,1.03757295977914,1.00267011636069,1.00776947118162,1115.67232771181
