"N","replicate","parameter","estimate","posterior_sd","lower","median","upper","rhat","ess","censor_before_first","n12","n13","n23","converged"
500,1,"lambda012",0.0780937366359406,0.00623880416276685,0.0664570988611307,0.0778506881955416,0.0908044172156904,1.00045433143116,7389.54642185625,0.416,173,119,62,TRUE
500,1,"lambda013",0.0492625874157528,0.00505203516475816,0.0398665902149387,0.0490847364013524,0.0595019512363385,1.00039317726427,5988.37310278869,0.416,173,119,62,TRUE
500,1,"lambda023",0.0863526038518503,0.0108311065284164,0.0665942580549265,0.0858936302450316,0.109038774886719,1.00006035097898,9587.15761270911,0.416,173,119,62,TRUE
500,1,"gamma12",-0.372685776680253,0.0780517110701255,-0.526339569645789,-0.372333534351225,-0.219965508621735,1.00034488408309,7298.70342565318,0.416,173,119,62,TRUE
500,1,"gamma13",0.551541332312257,0.0948006063799574,0.368713806830801,0.549997302426231,0.739657801386816,1.00062359408322,5588.92158375456,0.416,173,119,62,TRUE
500,1,"gamma23",0.545378411098848,0.141404340600539,0.269092835182606,0.547241696294183,0.822053501480357,1.00006006448528,9776.32412253693,0.416,173,119,62,TRUE
500,2,"lambda012",0.081741060391779,0.00626130821775738,0.0694577902260121,0.0816444692358498,0.0943607504317291,1.00027318227528,6389.25254768285,0.386,203,104,96,TRUE
500,2,"lambda013",0.0376085378731093,0.00444171583783512,0.0294286315156278,0.0374098407187326,0.0467121165439163,1.0004103088883,4514.71206387894,0.386,203,104,96,TRUE
500,2,"lambda023",0.107729329474934,0.0114385083131659,0.0863970866371757,0.107262742043974,0.131463325544527,1.00020114168928,7457.47177782459,0.386,203,104,96,TRUE
500,2,"gamma12",-0.47260201926355,0.0771300846524526,-0.623468010721032,-0.472669540397692,-0.323297647704986,1.00007496212795,5941.20964032095,0.386,203,104,96,TRUE
500,2,"gamma13",0.828128245464174,0.10724779081419,0.621093368316322,0.827605267360629,1.04041160674094,0.999999876250097,4608.1477322341,0.386,203,104,96,TRUE
500,2,"gamma23",0.253605122297428,0.111015773123931,0.0357572726274338,0.253701628006859,0.470334535127977,1.00005603232796,8009.93038883998,0.386,203,104,96,TRUE
500,3,"lambda012",0.0852969194867173,0.0066281961302079,0.0727384198166916,0.0852069466797474,0.0986147101908418,1.00016652055211,6815.04312311647,0.368,191,125,85,TRUE
500,3,"lambda013",0.0478611348490919,0.00526511344906608,0.0382181725517673,0.0476333006648568,0.0589082750393344,1.00039846842862,4180.65853791823,0.368,191,125,85,TRUE
500,3,"lambda023",0.106443125021678,0.0118796032840608,0.0846961735675024,0.106045642982621,0.131402159680481,1.00021737464302,7732.17425643121,0.368,191,125,85,TRUE
